F/S/C,A-L,,,mm/dd/yyyy,mm/dd/yyyy,mm/dd/yyyy,Initials,"Dry masses (g), to 0.1",,,,,,,
C,J,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.6,5.9,1.1,3.5,NA,0.3,0.0,
C,K,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.6,9.4,5.9,5.5,NA,0.0,0.0,
C,L,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.4,6.7,4.6,5.4,NA,0.0,0.0,
S,A,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.3,23.1,0.4,3.4,NA,0.0,0.0,
S,B,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.6,26.7,0.3,2.2,NA,0.0,0.1,
S,C,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.7,22.8,1.0,0.0,NA,0.0,0.1,
S,D,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.7,21.6,0.3,6.5,NA,0.0,0.0,
S,E,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.3,20.5,0.7,0.9,NA,0.0,0.0,
S,F,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.4,29.8,1.2,3.8,NA,0.0,0.0,
S,G,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.0,23.5,2.9,0.0,NA,0.0,0.0,
S,H,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.2,15.2,1.9,4.5,NA,0.1,0.4,
S,I,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.3,18.6,0.6,3.4,NA,21.6,0.1,
S,J,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.3,19.6,1.2,5.0,NA,0.4,0.0,
S,K,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.4,28.2,1.1,1.0,NA,0.3,0.0,
S,L,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.9,13.4,1.3,2.5,NA,0.0,0.0,
F,A,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.3,19.7,1.6,3.8,NA,0.0,0.2,
F,B,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.5,27.9,1.5,0.4,NA,0.0,0.0,
F,C,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.3,20.7,1.2,5.0,NA,0.0,0.0,
F,D,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.9,25.7,0.8,3.4,NA,0.0,0.0,
F,E,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.1,22.6,1.3,0.4,NA,0.6,0.0,
F,F,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.3,22.5,0.6,0.1,NA,0.1,0.0,
F,G,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.6,13.5,1.6,2.4,NA,0.1,5.8,
F,H,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.2,8.0,0.9,4.6,NA,25.2,0.9,
F,I,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.9,17.6,1.5,4.2,NA,0.0,0.1,
F,J,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.0,29.0,1.6,0.0,NA,0.0,1.3,
F,K,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.2,18.5,1.7,1.7,NA,0.2,0.4,
F,L,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.7,28.0,0.6,2.2,NA,0.4,0.0,
C,A,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,2.6,5.8,3.0,13.4,NA,0.0,0.1,
C,B,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,3.1,11.0,4.1,11.3,NA,0.2,1.7,
C,C,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,2.1,12.6,6.3,6.3,NA,0.6,1.3,
C,D,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,3.8,5.1,5.8,3.4,NA,2.2,0.1,
C,E,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,1.4,8.5,2.8,6.5,NA,1.1,0.9,
C,F,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,0.6,10.1,3.2,7.1,NA,2.3,1.7,
C,G,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,0.5,11.3,3.5,9.2,NA,0.3,7.2,
C,H,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,0.8,4.5,3.2,14.5,NA,0.3,1.4,
C,I,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,3.7,8.5,2.5,7.9,NA,0.6,0.2,
C,J,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,3.4,6.9,3.8,0.5,NA,2.4,0.2,
C,K,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,4.4,3.2,4.0,5.6,NA,0.9,0.1,
C,L,2019,298,10/25/2019,1/31/2023,2/26/2023,AES,8.9,5.9,5.2,10.3,NA,5.7,0.1,
S,A,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.4,11.6,1.4,2.4,NA,0.8,0.1,
S,B,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,1.9,7.4,2.5,3.1,NA,0.4,0.3,
S,C,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.7,10.3,1.6,3.6,NA,0.6,0.2,
S,D,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.4,9.9,1.5,5.4,NA,0.3,0.3,
S,E,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.5,10.7,3.4,2.6,NA,0.1,0.3,
S,F,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.5,12.5,1.9,3.5,NA,0.2,0.5,
S,G,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.0,13.7,4.3,3.0,NA,1.7,0.3,
S,H,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,1.4,11.9,3.9,4.9,NA,3.2,0.3,
S,I,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.7,7.9,2.8,4.3,NA,0.4,2.0,
S,J,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,1.5,9.8,3.9,2.3,NA,0.5,0.6,
S,K,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,1.3,10.8,3.0,3.7,NA,3.1,0.3,
S,L,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,2.8,8.7,2.1,4.4,NA,1.2,0.3,
F,A,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.5,12.7,1.5,1.6,NA,0.0,0.6,
F,B,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.7,9.6,4.1,3.0,NA,2.0,0.6,
F,C,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.1,12.3,1.9,1.5,NA,0.3,1.2,
F,D,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.1,7.6,1.4,3.1,NA,0.3,0.3,
F,E,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.3,7.8,2.3,3.2,NA,1.1,0.4,
F,F,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.1,8.9,1.8,2.3,NA,0.1,0.6,
F,G,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.9,6.9,3.0,8.1,NA,2.2,8.1,
F,H,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,1.1,7.7,2.5,6.4,NA,4.1,1.0,
F,I,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.7,12.6,2.4,5.8,NA,0.2,2.6,
F,J,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,1.5,13.4,1.8,2.3,NA,1.4,3.1,
F,K,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.2,9.6,2.1,2.3,NA,0.1,1.3,
F,L,2019,298,10/25/2019,2/2/2023,2/26/2023,AES,0.3,9.2,2.9,3.1,NA,0.8,0.3,
S,A,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,8.1,12.4,4.6,6.1,NA,1.7,0.7,
S,B,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,13.6,14.1,3.8,5.4,NA,1.2,0.8,
S,C,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.9,11.6,3.5,5.8,NA,1.5,0.6,
S,D,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,2.2,15.3,4.8,11.9,NA,2.8,0.6,
S,E,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,9.3,11.7,7.3,7.9,NA,3.3,0.8,
S,F,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,6.1,13.5,4.1,5.7,NA,0.0,0.5,
S,G,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,0.2,17.3,7.7,6.1,NA,3.1,0.6,
S,H,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,0.3,22.0,16.8,13.8,NA,0.5,0.8,
S,I,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,4.8,15.0,7.0,4.5,NA,0.3,0.6,
S,J,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.5,11.8,6.4,5.1,NA,14.3,0.8,
S,K,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,15.5,10.4,5.9,3.9,NA,0.4,0.9,
S,L,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,25.5,5.8,6.0,13.1,NA,21.0,0.6,
C,A,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,7.9,13.3,6.9,46.3,NA,0.8,1.0,
C,B,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,6.0,17.7,9.6,32.0,NA,1.5,2.1,
C,C,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,8.2,33.2,18.2,19.3,NA,0.0,6.0,
C,D,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,20.8,14.2,14.5,14.1,NA,0.0,1.0,
C,E,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,4.0,9.6,10.0,37.3,NA,2.3,2.5,
C,F,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,0.9,23.6,7.5,27.9,NA,5.1,4.8,
C,G,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,3.9,18.8,6.8,45.3,NA,16.3,6.0,
C,H,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,4.9,15.1,10.5,49.0,NA,1.6,2.4,
C,I,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,21.9,16.7,8.7,28.9,NA,0.9,0.7,
C,J,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,17.5,9.7,5.0,17.9,NA,1.1,0.5,
C,K,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,20.0,8.8,13.5,15.8,NA,0.4,1.2,
C,L,2019,305,11/1/2019,3/14/2023,12/11/2024,AES,21.8,4.3,12.2,29.7,NA,1.3,0.5,
F,A,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,2.4,18.3,1.3,5.0,NA,0.5,1.1,
F,B,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,1.8,11.4,7.1,3.1,NA,1.0,0.4,
F,C,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.1,15.5,1.9,4.0,NA,3.5,0.9,
F,D,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,2.2,18.7,4.5,5.7,NA,0.6,0.7,
F,E,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.2,11.7,5.2,4.1,NA,1.0,1.9,
F,F,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.1,22.2,4.0,2.0,NA,25.7,1.5,
F,G,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.3,11.6,12.4,20.1,NA,11.5,14.0,
F,H,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.4,9.7,9.0,37.2,NA,5.6,2.2,
F,I,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.2,13.0,8.8,15.8,NA,0.7,3.0,
F,J,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,5.7,18.8,8.3,12.3,NA,5.8,6.5,
F,K,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,3.3,16.4,7.9,3.7,NA,0.3,4.7,
F,L,2019,305,11/1/2019,3/7/2023,12/11/2024,AES,2.1,19.4,3.7,1.7,NA,6.6,1.5,
C,A,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,1.2,0.8,6.4,20.1,NA,1.1,5.6,
C,B,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,1.2,0.3,10.0,24.8,NA,0.3,4.2,
C,C,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.7,1.4,9.4,26.3,NA,7.7,3.9,
C,D,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.9,0.9,10.8,32.0,NA,2.9,2.6,
C,E,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.2,0.9,5.7,36.9,NA,0.5,4.2,
C,F,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.9,0.0,4.4,36.8,NA,3.4,5.6,
C,G,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.1,0.4,1.4,22.6,NA,1.1,2.4,
C,H,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.1,0.2,2.1,24.6,NA,0.2,2.4,
C,I,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.0,0.0,2.5,24.6,NA,1.3,2.3,
C,J,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.8,0.6,2.7,23.4,NA,3.4,3.0,
C,K,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,0.5,0.1,7.1,20.6,NA,0.1,2.1,
C,L,2019,354,12/20/2019,2/14/2023,1/23/2025,AES,1.6,0.8,7.2,21.8,NA,0.0,3.6,
F,A,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,13.3,3.1,10.2,7.4,NA,1.2,8.3,
F,B,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,14.9,5.9,7.4,3.5,NA,1.5,8.1,
F,C,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,10.1,3.9,9.4,9.9,NA,8.1,7.9,
F,D,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,9.5,3.9,15.7,6.3,NA,1.1,9.3,
F,E,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,12.6,2.7,15.0,8.6,NA,0.1,7.1,
F,F,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,5.7,3.0,9.3,4.5,NA,0.2,8.2,
F,G,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,4.5,5.0,23.6,10.4,NA,1.7,11.8,
F,H,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,7.1,3.5,15.5,10.4,NA,0.0,8.3,
F,I,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,4.3,6.2,17.4,7.7,NA,0.2,9.4,
F,J,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,4.7,3.4,21.5,7.6,NA,0.0,9.0,
F,K,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,9.6,2.6,15.3,9.2,NA,38.0,8.2,
F,L,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,4.7,2.7,15.2,2.6,NA,0.9,8.2,
S,A,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,4.1,4.0,12.5,6.6,NA,0.1,7.2,
S,B,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,6.6,3.8,17.1,6.8,NA,0.0,7.0,
S,C,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,3.0,4.4,11.1,8.6,NA,0.0,7.0,
S,D,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,2.1,1.8,15.8,13.5,NA,0.0,5.7,
S,E,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,2.5,2.7,12.9,10.7,NA,0.2,6.6,
S,F,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,5.6,2.9,14.4,9.9,NA,0.0,6.9,
S,G,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,2.0,3.0,13.8,6.9,NA,0.5,6.9,
S,H,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,2.0,1.9,14.3,9.2,NA,0.0,5.1,
S,I,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,2.2,1.9,14.4,5.4,NA,0.3,6.7,
S,J,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,2.2,3.2,14.2,7.8,NA,0.1,6.4,
S,K,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,5.8,2.2,17.8,7.1,NA,0.3,6.8,
S,L,2019,354,12/20/2019,2/7/2023,1/23/2025,AES,5.5,1.9,15.0,2.8,NA,0.7,6.8,
S,A,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,0.4,1.3,NA,3.6,14.8,
S,B,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,1.0,0.4,NA,1.2,19.8,
S,C,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,1.8,0.0,NA,28.5,17.4,
S,D,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.3,1.5,0.7,NA,3.3,17.4,
S,E,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,1.3,0.5,NA,4.2,18.4,
S,F,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.3,1.0,0.6,NA,0.8,18.9,
S,G,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.6,0.4,0.1,NA,2.4,17.2,
S,H,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,0.7,1.7,NA,3.5,15.7,
S,I,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.1,0.2,0.6,0.4,NA,50.7,25.5,
S,J,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.3,1.2,0.3,NA,10.3,21.9,
S,K,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,0.2,0.6,NA,0.2,12.3,
S,L,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.1,0.0,1.0,1.5,NA,5.1,14.0,
F,A,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.5,0.6,1.0,NA,3.5,21.6,
F,B,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.4,0.5,0.4,NA,4.9,19.9,
F,C,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.2,0.7,0.3,0.3,NA,3.2,24.1,
F,D,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.2,0.5,0.4,NA,0.5,15.7,
F,E,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.3,1.0,0.5,NA,2.5,18.1,
F,F,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,1.1,0.1,NA,9.0,25.4,
F,G,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.1,0.2,0.6,NA,4.9,20.0,
F,H,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,0.2,0.6,NA,4.8,19.5,
F,I,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.1,0.2,0.4,NA,3.5,18.0,
F,J,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.1,0.1,1.0,1.2,NA,6.8,17.7,
F,K,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.0,0.1,0.2,NA,7.1,19.0,
F,L,2020,171,6/19/2020,4/25/2023,12/12/2024,AES,0.0,0.3,0.9,0.6,NA,2.2,22.8,
C,A,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.0,0.0,1.8,1.3,NA,7.7,18.5,
C,B,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.5,0.1,1.3,1.3,NA,5.4,23.3,
C,C,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.0,0.5,3.1,3.1,NA,6.3,17.8,
C,D,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.0,0.0,1.0,2.2,NA,9.0,14.9,
C,E,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.2,0.0,1.1,8.8,NA,4.9,18.0,
C,F,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.2,0.6,1.1,3.2,NA,72.7,17.1,
C,G,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.0,0.0,0.0,3.3,NA,13.1,12.8,
C,H,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.0,0.0,0.7,1.2,NA,4.0,14.7,
C,I,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.0,0.0,0.8,1.6,NA,4.5,16.2,
C,J,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.1,0.0,0.9,1.1,NA,0.2,16.6,
C,K,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.2,0.0,1.6,3.2,NA,8.0,13.9,
C,L,2020,171,6/19/2020,4/18/2023,12/12/2024,AES,0.2,0.0,1.5,2.6,NA,20.7,12.8,
F,A,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.2,2.6,0.8,6.3,NA,25.4,5.6,
F,B,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.2,5.3,0.8,4.7,NA,6.2,1.6,
F,C,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.2,5.0,0.9,6.8,NA,10.2,4.2,
F,D,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.0,5.9,1.5,6.7,NA,5.2,0.9,
F,E,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.3,4.3,0.9,4.1,NA,5.4,2.8,
F,F,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,1.1,2.7,1.3,7.7,NA,98.5,1.2,
F,G,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.1,1.4,2.7,7.5,NA,29.4,7.3,
F,H,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,1.0,0.3,1.8,13.4,NA,11.7,3.3,
F,I,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,1.8,0.3,1.2,6.1,NA,2.0,0.7,
F,J,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.0,0.4,1.7,9.0,NA,3.1,0.0,
F,K,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.7,2.2,2.5,9.6,NA,17.1,3.0,
F,L,2020,245,9/1/2020,5/2/2023,12/11/2024,AES,0.0,4.3,1.6,7.1,NA,1.3,1.5,
S,A,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,1.2,0.2,1.5,6.7,NA,5.1,0.3,
S,B,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,1.0,2.4,0.7,8.6,NA,12.7,0.6,
S,C,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.0,3.0,0.9,8.3,NA,18.4,0.8,
S,D,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.3,4.9,1.0,22.1,NA,22.9,5.5,
S,E,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.5,0.4,2.1,10.8,NA,3.5,1.8,
S,F,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.3,1.6,2.1,7.4,NA,3.0,0.6,
S,G,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.0,1.6,2.7,7.3,NA,3.9,0.5,
S,H,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.6,0.8,1.5,8.3,NA,11.4,0.3,
S,I,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.0,2.6,1.5,19.7,NA,21.3,3.0,
S,J,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,1.6,1.7,0.5,6.6,NA,9.0,2.7,
S,K,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.1,1.1,1.9,7.9,NA,2.2,1.5,
S,L,2020,245,9/1/2020,1/4/2024,12/12/2024,AES,0.6,0.2,1.7,8.6,NA,1.4,0.8,
C,A,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.1,0.8,0.8,5.4,NA,3.6,0.3,
C,B,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.3,1.8,0.5,6.7,NA,2.0,0.5,
C,C,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.3,3.6,2.4,3.0,NA,1.0,1.2,
C,D,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.7,1.04,3.7,1.4,NA,6.3,2.6,
C,E,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.1,0.2,1.4,3.8,NA,4.1,0.28,
C,F,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.0,0.2,2.2,2.9,NA,12.9,4.5,
C,G,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.1,0.8,1.4,3.2,NA,10.4,8.1,
C,H,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.0,0.8,1.5,1.9,NA,3.2,9.5,
C,I,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.3,0.9,0.6,83.3,NA,137.8,1.2,
C,J,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.6,2.0,1.4,3.1,NA,0.5,0.9,
C,K,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.4,0.7,2.0,1.0,NA,0.4,9.0,
C,L,2020,245,9/1/2020,4/25/2023,12/12/2024,AES,0.7,1.1,1.8,2.4,NA,14.3,4.3,
F,A,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.2,13.7,1.5,3.9,NA,0.5,2.4,
F,B,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.6,10.8,1.0,0.6,NA,0.2,6.2,
F,C,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.3,9.4,1.0,4.1,NA,1.8,13.6,
F,D,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.8,8.5,0.8,0.8,NA,0.0,9.6,
F,E,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,1.0,7.8,1.2,2.5,NA,1.6,0.1,
F,F,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.4,11.8,0.9,2.5,NA,0.4,0.4,
F,G,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.3,2.6,2.7,8.9,NA,5.3,1.0,
F,H,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.2,7.8,2.5,7.6,NA,0.0,0.0,
F,I,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.1,13.2,2.5,4.2,NA,0.0,0.3,
F,J,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.4,12.1,2.5,1.8,NA,0.1,0.0,
F,K,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.4,12.8,3.0,1.1,NA,0.1,0.0,
F,L,2020,282,10/8/2020,10/12/2021,10/21/2021,AES,0.2,10.8,1.7,1.4,NA,0.0,0.0,
S,A,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,0.8,8.7,1.0,1.5,NA,0.0,0.0,
S,B,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,1.7,12.7,0.7,1.7,NA,0.0,0.0,
S,C,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,0.9,14.7,0.8,2.3,NA,0.1,0.0,
S,D,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,0.3,10.8,1.4,3.5,NA,2.0,0.0,
S,E,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,0.3,14.5,1.8,1.5,NA,0.5,0.1,
S,F,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,0.2,15.3,1.3,1.8,NA,0.3,0.0,
S,G,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,0.6,12.0,1.1,2.7,NA,0.0,0.0,
S,H,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,4.9,12.6,3.3,13.3,NA,1.7,0.0,
S,I,2020,282,10/8/2020,9/30/2021,10/21/2021,AES,1.4,10.9,2.0,5.3,NA,0.0,0.0,
